,DATES,STATE,death,deathIncrease,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,negative,negativeIncrease,positive,positiveIncrease,positiveScore,recovered,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsPeopleViralIncrease,cases,deaths,Unnamed: 0,STEMERG,CLSCHOOL,CLDAYCR,STAYHOME,QRSOMEST,QR_ALLST,CLBSNS,CURFEW,CLREST,CLGYM,CLMOVIE,CLOSEBAR,CASCLOSE,FM_ALL,TLHLAUD,TLHLMED,ELECPRCR,CLS_RELG,CLS_HAIR
50,03/07/21,Virgin Islands,25.0,0,,,,0,46167.0,0,2714.0,0,0,2559.0,0,48881.0,0,0,2714.0,25.0,,,,,,,,,,,,,,,,,,,,
51,03/07/21,Vermont,208.0,0,,,31.0,0,320060.0,643,16083.0,119,0,13384.0,0,1124215.0,8748,759,16083.0,208.0,16166.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
52,03/07/21,Washington,5041.0,0,19599.0,19599.0,431.0,43,,0,344532.0,664,0,,24040,5393756.0,24040,0,347391.0,5108.0,16870.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
53,03/07/21,Wisconsin,7106.0,4,26457.0,26457.0,249.0,25,2647864.0,3521,621654.0,377,0,553203.0,19193,7080595.0,19193,3850,621654.0,7111.0,17574.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
54,03/07/21,West Virginia,2325.0,2,,,179.0,0,,0,133445.0,155,0,125383.0,0,2236551.0,6449,0,133445.0,2325.0,17222.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
55,03/07/21,Wyoming,682.0,0,1391.0,1391.0,21.0,0,182264.0,0,54764.0,0,0,53550.0,0,649293.0,0,0,54764.0,682.0,17926.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
56,03/06/21,Alaska,305.0,0,1293.0,1293.0,33.0,0,,0,56886.0,0,0,,0,1731628.0,0,0,58870.0,292.0,677.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
57,03/06/21,Alabama,10149.0,27,45976.0,45976.0,526.0,0,1929624.0,4866,499411.0,524,0,295690.0,0,2321441.0,5314,5314,499411.0,10149.0,325.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
58,03/06/21,Arkansas,5297.0,14,14915.0,14915.0,345.0,12,2477449.0,4711,324653.0,327,0,315181.0,0,2733062.0,4959,0,324653.0,5297.0,1381.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0
59,03/06/21,American Samoa,0.0,0,,,,0,2140.0,0,0.0,0,0,,0,2140.0,0,0,,,,,,,,,,,,,,,,,,,,,,
60,03/06/21,Arizona,16323.0,54,57863.0,57863.0,966.0,44,3059332.0,8442,825119.0,1735,0,,0,7862995.0,35425,9639,825119.0,16323.0,1029.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0
61,03/06/21,California,53866.0,418,,,4513.0,0,,0,3497578.0,4452,0,,0,49512828.0,218325,0,3596962.0,54124.0,1733.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0
62,03/06/21,Colorado,5986.0,0,23886.0,23886.0,326.0,23,2199458.0,5505,435762.0,1108,0,,33600,6376960.0,33600,6427,437650.0,6075.0,2085.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
